Word,Year,Round,Part_of_Speech,Language,Times_Used,Years_Since_Last_Used,Num_Syllables,Word_Length,Reduplication,Error
timorous,1996,2,adjective,Germanic,1,0,3,8,0,0
transitory,2009,2,adjective,Germanic,1,0,4,10,0,0
vagile,2001,3,adjective,Germanic,1,0,2,6,0,0
valiant,2009,2,adjective,Germanic,1,0,2,7,0,1
venerable,1999,2,adjective,Germanic,1,0,4,9,0,0
venomous,2017,2,adjective,Germanic,1,0,3,8,0,0
verboten,1998,6,adjective,Germanic,1,0,3,8,0,0
virulent,1996,2,adjective,Germanic,1,0,3,8,0,1
vitreous,2016,2,adjective,Germanic,1,0,3,8,0,0
wanton,2015,2,adjective,Germanic,1,0,2,6,0,0
winsome,1999,2,adjective,Germanic,1,0,2,7,0,0
wizened,1996,3,adjective,Germanic,1,0,2,7,0,0
woebegone,1999,2,adjective,Germanic,1,0,3,9,0,1
yearnful,2016,3,adjective,Germanic,1,0,2,8,0,0
widdershins,2004,2,other,Germanic,1,0,3,11,1,0
blithely,1997,1,other,Germanic,1,0,2,8,0,0
derogatorily,1997,1,other,Germanic,1,0,6,12,0,1
ergo,1996,2,other,Germanic,1,0,2,4,0,1
imprimis,2009,6,other,Germanic,1,0,3,8,0,0
scilicet,2009,7,other,Germanic,1,0,3,8,0,0
videlicet,1997,5,other,Germanic,1,0,4,9,0,1
whilom,1999,1,other,Germanic,1,0,2,6,0,0
schnell,2015,5,other,Germanic,1,0,1,7,1,0
geistlich,2005,8,other,Germanic,1,0,2,9,0,0
gratis,2001,2,other,Germanic,1,0,2,6,0,1
albeit,2000,3,other,Germanic,1,0,3,6,0,0
hosanna,1996,2,other,Germanic,1,0,3,7,1,1
wellaway,2012,2,other,Germanic,1,0,3,8,1,1
gesundheit,1998,3,other,Germanic,1,0,3,10,0,1
augenphilologie,2014,18,noun,Germanic,1,0,6,15,1,0
confrere,2003,1,noun,Germanic,1,0,2,8,1,0
creatinine,2006,2,noun,Germanic,1,0,4,10,1,0
cucurbit,1999,6,noun,Germanic,1,0,3,8,1,1
gegenschein,1997,6,noun,Germanic,1,0,3,11,1,1
miserere,2009,3,noun,Germanic,1,0,4,8,1,0
practitioner,2008,2,noun,Germanic,1,0,4,12,1,0
rerebrace,2016,7,noun,Germanic,1,0,2,9,1,0
reredos,2009,12,noun,Germanic,1,0,2,7,1,0
tartar,2001,2,noun,Germanic,1,0,2,6,1,0
vivisepulture,1996,13,noun,Germanic,1,0,2,13,1,0
